name,price,rating,category,brand,specs,description
LG Electronics Model 291,21881.23,4.5,Electronics,LG,"Bluetooth Speaker, Waterproof",Electronics product by LG with features like Bluetooth Speaker.
Lego Toys Model 355,30234.81,4.1,Toys,Lego,"500 pieces, Multi-color",Toys product by Lego with features like 500 pieces.
Toyota Vehicles Model 101,46804.78,3.8,Vehicles,Toyota,"V6 Engine, 4x4 Drive",Vehicles product by Toyota with features like V6 Engine.
Toyota Vehicles Model 342,6993.13,4.8,Vehicles,Toyota,"2.0L Hybrid, 5 seats",Vehicles product by Toyota with features like 2.0L Hybrid.
Nike Clothing Model 339,12285.06,3.6,Clothing,Nike,"Size: XL, Cotton, Red",Clothing product by Nike with features like Size: XL.
Mattel Toys Model 906,21253.16,4.8,Toys,Mattel,"Board Game, 2-6 Players",Toys product by Mattel with features like Board Game.
Puma Clothing Model 537,45596.6,3.7,Clothing,Puma,"Size: S, Wool, Blue",Clothing product by Puma with features like Size: S.
Sony Electronics Model 509,48577.73,4.5,Electronics,Sony,"Bluetooth Speaker, Waterproof",Electronics product by Sony with features like Bluetooth Speaker.
Apple Mobile Model 405,19393.26,4.7,Mobile,Apple,"512GB, A17 Pro",Mobile product by Apple with features like 512GB.
Adidas Clothing Model 999,3015.98,4.8,Clothing,Adidas,"Size: L, Polyester, Black",Clothing product by Adidas with features like Size: L.
Nestle Food Model 442,26931.1,4.7,Food,Nestle,"Family Pack, Chocolate",Food product by Nestle with features like Family Pack.
Coca-Cola Food Model 455,6925.29,3.8,Food,Coca-Cola,"Family Pack, Chocolate",Food product by Coca-Cola with features like Family Pack.
Bose Electronics Model 786,45383.66,3.8,Electronics,Bose,"1080p Full HD, Android TV",Electronics product by Bose with features like 1080p Full HD.
Ford Vehicles Model 965,1443.74,4.2,Vehicles,Ford,"1.5L Turbo, CVT",Vehicles product by Ford with features like 1.5L Turbo.
Coca-Cola Food Model 764,23891.85,4.3,Food,Coca-Cola,"500ml, Diet",Food product by Coca-Cola with features like 500ml.
Lenovo Tablet Model 480,14759.12,3.7,Tablet,Lenovo,"4GB RAM, 32GB, A12 Bionic",Tablet product by Lenovo with features like 4GB RAM.
Coca-Cola Food Model 649,12333.8,4.1,Food,Coca-Cola,"Family Pack, Chocolate",Food product by Coca-Cola with features like Family Pack.
Samsung Tablet Model 209,44972.99,4.7,Tablet,Samsung,"6GB RAM, 64GB, MediaTek",Tablet product by Samsung with features like 6GB RAM.
Apple Tablet Model 442,46523.39,3.7,Tablet,Apple,"4GB RAM, 32GB, A12 Bionic",Tablet product by Apple with features like 4GB RAM.
Bose Electronics Model 854,40148.29,4.6,Electronics,Bose,"1080p Full HD, Android TV",Electronics product by Bose with features like 1080p Full HD.
Lenovo Tablet Model 168,17764.47,4.1,Tablet,Lenovo,"12GB RAM, 128GB, Snapdragon",Tablet product by Lenovo with features like 12GB RAM.
Samsung Mobile Model 133,8052.48,3.5,Mobile,Samsung,"128GB, A15 Bionic",Mobile product by Samsung with features like 128GB.
LG Electronics Model 584,31439.43,4.5,Electronics,LG,"4K UHD, HDR10, WebOS",Electronics product by LG with features like 4K UHD.
Lenovo Tablet Model 327,758.53,3.7,Tablet,Lenovo,"6GB RAM, 64GB, MediaTek",Tablet product by Lenovo with features like 6GB RAM.
Samsung Tablet Model 487,31653.61,4.5,Tablet,Samsung,"6GB RAM, 64GB, MediaTek",Tablet product by Samsung with features like 6GB RAM.
Under Armour Clothing Model 703,42092.32,3.6,Clothing,Under Armour,"Size: M, Cotton, White",Clothing product by Under Armour with features like Size: M.
Tesla Vehicles Model 851,24511.39,4.2,Vehicles,Tesla,"Electric, 358mi range, Autopilot",Vehicles product by Tesla with features like Electric.
Samsung Electronics Model 268,26350.03,5.0,Electronics,Samsung,"1080p Full HD, Android TV",Electronics product by Samsung with features like 1080p Full HD.
Mattel Toys Model 645,738.49,4.7,Toys,Mattel,"Plush Toy, 12 inch",Toys product by Mattel with features like Plush Toy.
Apple Tablet Model 124,10781.84,4.1,Tablet,Apple,"8GB RAM, 256GB SSD, Intel i5",Tablet product by Apple with features like 8GB RAM.
Samsung Tablet Model 861,29909.26,4.2,Tablet,Samsung,"8GB RAM, 256GB SSD, Intel i5",Tablet product by Samsung with features like 8GB RAM.
Xiaomi Mobile Model 586,24452.4,3.6,Mobile,Xiaomi,"512GB, A17 Pro",Mobile product by Xiaomi with features like 512GB.
Honda Vehicles Model 188,26008.79,4.6,Vehicles,Honda,"Electric, 358mi range, Autopilot",Vehicles product by Honda with features like Electric.
Honda Vehicles Model 941,21321.34,4.8,Vehicles,Honda,"1.5L Turbo, CVT",Vehicles product by Honda with features like 1.5L Turbo.
Mattel Toys Model 559,35500.23,4.0,Toys,Mattel,"Plush Toy, 12 inch",Toys product by Mattel with features like Plush Toy.
Xiaomi Mobile Model 408,4652.99,3.6,Mobile,Xiaomi,"512GB, A17 Pro",Mobile product by Xiaomi with features like 512GB.
Under Armour Clothing Model 471,17700.79,3.5,Clothing,Under Armour,"Size: L, Polyester, Black",Clothing product by Under Armour with features like Size: L.
Samsung Tablet Model 947,25339.79,3.5,Tablet,Samsung,"4GB RAM, 32GB, A12 Bionic",Tablet product by Samsung with features like 4GB RAM.
Samsung Mobile Model 499,41349.03,4.6,Mobile,Samsung,"512GB, A17 Pro",Mobile product by Samsung with features like 512GB.
Honda Vehicles Model 304,12607.56,3.6,Vehicles,Honda,"1.5L Turbo, CVT",Vehicles product by Honda with features like 1.5L Turbo.
Hasbro Toys Model 712,2924.9,3.9,Toys,Hasbro,"Die-cast, Model 2023",Toys product by Hasbro with features like Die-cast.
Adidas Clothing Model 977,31147.09,3.8,Clothing,Adidas,"Size: M, Cotton, White",Clothing product by Adidas with features like Size: M.
Under Armour Clothing Model 758,47248.04,3.8,Clothing,Under Armour,"Size: XL, Cotton, Red",Clothing product by Under Armour with features like Size: XL.
Nestle Food Model 166,40311.28,4.0,Food,Nestle,"500ml, Diet",Food product by Nestle with features like 500ml.
Lenovo Tablet Model 269,41990.91,5.0,Tablet,Lenovo,"4GB RAM, 32GB, A12 Bionic",Tablet product by Lenovo with features like 4GB RAM.
Lenovo Tablet Model 351,21840.21,5.0,Tablet,Lenovo,"6GB RAM, 64GB, MediaTek",Tablet product by Lenovo with features like 6GB RAM.
Samsung Tablet Model 684,2409.53,3.7,Tablet,Samsung,"12GB RAM, 128GB, Snapdragon",Tablet product by Samsung with features like 12GB RAM.
Samsung Tablet Model 479,49742.37,4.0,Tablet,Samsung,"4GB RAM, 32GB, A12 Bionic",Tablet product by Samsung with features like 4GB RAM.
Honda Vehicles Model 937,5341.26,3.8,Vehicles,Honda,"2.0L Hybrid, 5 seats",Vehicles product by Honda with features like 2.0L Hybrid.
Coca-Cola Food Model 626,4524.41,4.8,Food,Coca-Cola,"Family Pack, Chocolate",Food product by Coca-Cola with features like Family Pack.
Ford Vehicles Model 200,28612.23,4.2,Vehicles,Ford,"1.5L Turbo, CVT",Vehicles product by Ford with features like 1.5L Turbo.
Mattel Toys Model 379,11631.93,4.4,Toys,Mattel,"Plush Toy, 12 inch",Toys product by Mattel with features like Plush Toy.
Lenovo Tablet Model 741,20338.28,4.8,Tablet,Lenovo,"4GB RAM, 32GB, A12 Bionic",Tablet product by Lenovo with features like 4GB RAM.
Nestle Food Model 124,24192.95,4.8,Food,Nestle,"500ml, Diet",Food product by Nestle with features like 500ml.
Sony Electronics Model 102,16919.41,4.4,Electronics,Sony,"Noise Cancelling, Wireless",Electronics product by Sony with features like Noise Cancelling.
Apple Tablet Model 770,12424.55,4.0,Tablet,Apple,"8GB RAM, 256GB SSD, Intel i5",Tablet product by Apple with features like 8GB RAM.
Tesla Vehicles Model 498,39604.12,4.9,Vehicles,Tesla,"1.5L Turbo, CVT",Vehicles product by Tesla with features like 1.5L Turbo.
Puma Clothing Model 481,44728.06,4.5,Clothing,Puma,"Size: L, Polyester, Black",Clothing product by Puma with features like Size: L.
Coca-Cola Food Model 558,44708.64,4.0,Food,Coca-Cola,"Family Pack, Chocolate",Food product by Coca-Cola with features like Family Pack.
Sony Electronics Model 417,15113.43,4.4,Electronics,Sony,"Bluetooth Speaker, Waterproof",Electronics product by Sony with features like Bluetooth Speaker.
Sony Electronics Model 126,38515.14,4.2,Electronics,Sony,"4K UHD, HDR10, WebOS",Electronics product by Sony with features like 4K UHD.
Honda Vehicles Model 908,325.33,4.1,Vehicles,Honda,"2.0L Hybrid, 5 seats",Vehicles product by Honda with features like 2.0L Hybrid.
Toyota Vehicles Model 662,30388.56,4.4,Vehicles,Toyota,"Electric, 358mi range, Autopilot",Vehicles product by Toyota with features like Electric.
Ford Vehicles Model 897,476.56,4.4,Vehicles,Ford,"1.5L Turbo, CVT",Vehicles product by Ford with features like 1.5L Turbo.
Adidas Clothing Model 425,47173.37,3.6,Clothing,Adidas,"Size: S, Wool, Blue",Clothing product by Adidas with features like Size: S.
Lego Toys Model 851,26783.95,3.9,Toys,Lego,"Plush Toy, 12 inch",Toys product by Lego with features like Plush Toy.
Tesla Vehicles Model 339,47371.06,4.0,Vehicles,Tesla,"Electric, 358mi range, Autopilot",Vehicles product by Tesla with features like Electric.
Sony Electronics Model 651,34985.21,4.9,Electronics,Sony,"Bluetooth Speaker, Waterproof",Electronics product by Sony with features like Bluetooth Speaker.
Samsung Tablet Model 974,36261.02,4.2,Tablet,Samsung,"8GB RAM, 256GB SSD, Intel i5",Tablet product by Samsung with features like 8GB RAM.
Tesla Vehicles Model 454,11514.22,4.6,Vehicles,Tesla,"1.5L Turbo, CVT",Vehicles product by Tesla with features like 1.5L Turbo.
Adidas Clothing Model 483,40646.04,4.5,Clothing,Adidas,"Size: L, Polyester, Black",Clothing product by Adidas with features like Size: L.
Mattel Toys Model 363,46619.88,3.5,Toys,Mattel,"Plush Toy, 12 inch",Toys product by Mattel with features like Plush Toy.
Samsung Mobile Model 531,22956.52,4.2,Mobile,Samsung,"256GB, Snapdragon 8 Gen1",Mobile product by Samsung with features like 256GB.
Nabisco Food Model 377,17913.27,4.1,Food,Nabisco,"Family Pack, Chocolate",Food product by Nabisco with features like Family Pack.
Samsung Mobile Model 856,28426.73,4.9,Mobile,Samsung,"64GB, MediaTek",Mobile product by Samsung with features like 64GB.
Nestle Food Model 662,49437.28,4.0,Food,Nestle,"500ml, Diet",Food product by Nestle with features like 500ml.
Pepsi Food Model 931,1178.81,4.3,Food,Pepsi,"Family Pack, Chocolate",Food product by Pepsi with features like Family Pack.
Toyota Vehicles Model 575,15047.41,4.5,Vehicles,Toyota,"1.5L Turbo, CVT",Vehicles product by Toyota with features like 1.5L Turbo.
OnePlus Mobile Model 375,16672.96,3.6,Mobile,OnePlus,"128GB, A15 Bionic",Mobile product by OnePlus with features like 128GB.
Nike Clothing Model 997,8889.82,3.8,Clothing,Nike,"Size: M, Cotton, White",Clothing product by Nike with features like Size: M.
Hot Wheels Toys Model 750,11097.09,3.6,Toys,Hot Wheels,"500 pieces, Multi-color",Toys product by Hot Wheels with features like 500 pieces.
Pepsi Food Model 991,20103.42,4.0,Food,Pepsi,"500ml, Diet",Food product by Pepsi with features like 500ml.
Mattel Toys Model 324,42904.8,4.5,Toys,Mattel,"Board Game, 2-6 Players",Toys product by Mattel with features like Board Game.
Samsung Mobile Model 697,4834.93,3.7,Mobile,Samsung,"256GB, Snapdragon 8 Gen1",Mobile product by Samsung with features like 256GB.
Puma Clothing Model 252,23527.79,4.2,Clothing,Puma,"Size: M, Cotton, White",Clothing product by Puma with features like Size: M.
Lenovo Tablet Model 424,10461.26,4.9,Tablet,Lenovo,"12GB RAM, 128GB, Snapdragon",Tablet product by Lenovo with features like 12GB RAM.
Nabisco Food Model 918,29621.3,3.6,Food,Nabisco,"100g, Milk Chocolate",Food product by Nabisco with features like 100g.
Lego Toys Model 890,24213.21,4.5,Toys,Lego,"Board Game, 2-6 Players",Toys product by Lego with features like Board Game.
Lenovo Tablet Model 922,15132.59,4.7,Tablet,Lenovo,"8GB RAM, 256GB SSD, Intel i5",Tablet product by Lenovo with features like 8GB RAM.
Samsung Tablet Model 539,27667.54,4.9,Tablet,Samsung,"8GB RAM, 256GB SSD, Intel i5",Tablet product by Samsung with features like 8GB RAM.
Pepsi Food Model 681,13869.86,4.8,Food,Pepsi,"Family Pack, Chocolate",Food product by Pepsi with features like Family Pack.
Hot Wheels Toys Model 705,45077.03,4.6,Toys,Hot Wheels,"Plush Toy, 12 inch",Toys product by Hot Wheels with features like Plush Toy.
Hot Wheels Toys Model 355,9464.36,4.7,Toys,Hot Wheels,"Plush Toy, 12 inch",Toys product by Hot Wheels with features like Plush Toy.
Honda Vehicles Model 386,38872.25,4.6,Vehicles,Honda,"2.0L Hybrid, 5 seats",Vehicles product by Honda with features like 2.0L Hybrid.
Samsung Electronics Model 959,13836.42,3.6,Electronics,Samsung,"4K UHD, HDR10, WebOS",Electronics product by Samsung with features like 4K UHD.
Samsung Electronics Model 988,37595.35,3.6,Electronics,Samsung,"Bluetooth Speaker, Waterproof",Electronics product by Samsung with features like Bluetooth Speaker.
Samsung Tablet Model 852,29728.39,5.0,Tablet,Samsung,"12GB RAM, 128GB, Snapdragon",Tablet product by Samsung with features like 12GB RAM.
Puma Clothing Model 524,34433.87,3.5,Clothing,Puma,"Size: L, Polyester, Black",Clothing product by Puma with features like Size: L.
Apple Tablet Model 574,1006.29,4.5,Tablet,Apple,"12GB RAM, 128GB, Snapdragon",Tablet product by Apple with features like 12GB RAM.
Bose Electronics Model 738,11526.89,4.3,Electronics,Bose,"4K UHD, HDR10, WebOS",Electronics product by Bose with features like 4K UHD.
Lenovo Tablet Model 499,45000.11,4.6,Tablet,Lenovo,"6GB RAM, 64GB, MediaTek",Tablet product by Lenovo with features like 6GB RAM.
Apple Tablet Model 314,42257.44,4.5,Tablet,Apple,"4GB RAM, 32GB, A12 Bionic",Tablet product by Apple with features like 4GB RAM.
Toyota Vehicles Model 951,26371.12,4.0,Vehicles,Toyota,"V6 Engine, 4x4 Drive",Vehicles product by Toyota with features like V6 Engine.
Coca-Cola Food Model 663,16063.72,4.3,Food,Coca-Cola,"500ml, Diet",Food product by Coca-Cola with features like 500ml.
Bose Electronics Model 499,19039.25,4.4,Electronics,Bose,"1080p Full HD, Android TV",Electronics product by Bose with features like 1080p Full HD.
Hot Wheels Toys Model 272,28258.92,4.1,Toys,Hot Wheels,"Die-cast, Model 2023",Toys product by Hot Wheels with features like Die-cast.
Coca-Cola Food Model 292,24413.37,4.6,Food,Coca-Cola,"1.5L, Carbonated",Food product by Coca-Cola with features like 1.5L.
Lenovo Tablet Model 690,23538.9,4.6,Tablet,Lenovo,"12GB RAM, 128GB, Snapdragon",Tablet product by Lenovo with features like 12GB RAM.
Nestle Food Model 177,46696.61,4.4,Food,Nestle,"100g, Milk Chocolate",Food product by Nestle with features like 100g.
Pepsi Food Model 975,1630.33,3.6,Food,Pepsi,"Family Pack, Chocolate",Food product by Pepsi with features like Family Pack.
Honda Vehicles Model 657,45167.85,3.9,Vehicles,Honda,"2.0L Hybrid, 5 seats",Vehicles product by Honda with features like 2.0L Hybrid.
Hasbro Toys Model 545,1759.25,4.5,Toys,Hasbro,"Board Game, 2-6 Players",Toys product by Hasbro with features like Board Game.
Nabisco Food Model 737,24355.39,4.8,Food,Nabisco,"Family Pack, Chocolate",Food product by Nabisco with features like Family Pack.
Nestle Food Model 661,15827.93,4.2,Food,Nestle,"100g, Milk Chocolate",Food product by Nestle with features like 100g.
Samsung Tablet Model 617,40550.15,4.7,Tablet,Samsung,"4GB RAM, 32GB, A12 Bionic",Tablet product by Samsung with features like 4GB RAM.
Samsung Mobile Model 164,9552.2,4.5,Mobile,Samsung,"512GB, A17 Pro",Mobile product by Samsung with features like 512GB.
Pepsi Food Model 377,7672.37,3.8,Food,Pepsi,"1.5L, Carbonated",Food product by Pepsi with features like 1.5L.
Adidas Clothing Model 269,9961.09,4.9,Clothing,Adidas,"Size: XL, Cotton, Red",Clothing product by Adidas with features like Size: XL.
Microsoft Tablet Model 547,6264.2,3.9,Tablet,Microsoft,"8GB RAM, 256GB SSD, Intel i5",Tablet product by Microsoft with features like 8GB RAM.
Puma Clothing Model 766,5165.42,4.2,Clothing,Puma,"Size: L, Polyester, Black",Clothing product by Puma with features like Size: L.
Sony Electronics Model 107,31164.14,4.6,Electronics,Sony,"4K UHD, HDR10, WebOS",Electronics product by Sony with features like 4K UHD.
Mattel Toys Model 615,22884.06,4.3,Toys,Mattel,"Board Game, 2-6 Players",Toys product by Mattel with features like Board Game.
Hasbro Toys Model 321,13548.38,3.9,Toys,Hasbro,"Board Game, 2-6 Players",Toys product by Hasbro with features like Board Game.
Mattel Toys Model 497,12174.34,4.3,Toys,Mattel,"Plush Toy, 12 inch",Toys product by Mattel with features like Plush Toy.
Hot Wheels Toys Model 447,40670.88,4.0,Toys,Hot Wheels,"500 pieces, Multi-color",Toys product by Hot Wheels with features like 500 pieces.
Coca-Cola Food Model 559,32305.28,3.6,Food,Coca-Cola,"100g, Milk Chocolate",Food product by Coca-Cola with features like 100g.
Honda Vehicles Model 781,13912.64,4.4,Vehicles,Honda,"1.5L Turbo, CVT",Vehicles product by Honda with features like 1.5L Turbo.
Samsung Mobile Model 241,40039.81,4.1,Mobile,Samsung,"256GB, Snapdragon 8 Gen1",Mobile product by Samsung with features like 256GB.
Hasbro Toys Model 116,8060.5,4.0,Toys,Hasbro,"Plush Toy, 12 inch",Toys product by Hasbro with features like Plush Toy.
LG Electronics Model 298,14718.42,3.6,Electronics,LG,"Bluetooth Speaker, Waterproof",Electronics product by LG with features like Bluetooth Speaker.
Samsung Tablet Model 720,6760.59,4.7,Tablet,Samsung,"8GB RAM, 256GB SSD, Intel i5",Tablet product by Samsung with features like 8GB RAM.
Lego Toys Model 678,11570.16,4.3,Toys,Lego,"Board Game, 2-6 Players",Toys product by Lego with features like Board Game.
